Product Name,Printing,Condition,Rarity,Number,Market Price
Goldeen - 087/084,Holofoil,Near Mint,Illustration Rare,87,$12.48 
Primarina - 088/084,Holofoil,Near Mint,Illustration Rare,88,$5.99 
Manectric - 089/084,Holofoil,Near Mint,Illustration Rare,89,$3.41 
Slowbro - 090/084,Holofoil,Near Mint,Illustration Rare,90,$17.21 
Dhelmise - 091/084,Holofoil,Near Mint,Illustration Rare,91,$6.25 
Thievul - 092/084,Holofoil,Near Mint,Illustration Rare,92,$2.14 
Bastiodon - 093/084,Holofoil,Near Mint,Illustration Rare,93,$2.69 
Toucannon - 094/084,Holofoil,Near Mint,Illustration Rare,94,$5.74 
Silvally - 095/084,Holofoil,Near Mint,Illustration Rare,95,$4.28 
Lurantis ex - 096/084,Holofoil,Near Mint,Ultra Rare,96,$2.92 
Wailord ex - 097/084,Holofoil,Near Mint,Ultra Rare,97,$4.50 
Mega Zeraora ex - 098/084,Holofoil,Near Mint,Ultra Rare,98,$7.99 
Mega Chandelure ex - 099/084,Holofoil,Near Mint,Ultra Rare,99,$10.00 
Rampardos ex - 100/084,Holofoil,Near Mint,Ultra Rare,100,$3.50 
Mega Darkrai ex - 101/084,Holofoil,Near Mint,Ultra Rare,101,$13.03 
Morpeko ex - 102/084,Holofoil,Near Mint,Ultra Rare,102,$5.48 
Mega Excadrill ex - 103/084,Holofoil,Near Mint,Ultra Rare,103,$9.36 
Brave Bangle,Holofoil,Near Mint,Ultra Rare,104,$4.71 
Crushing Hammer,Holofoil,Near Mint,Ultra Rare,105,$4.82 
Dark Bell - 106/084,Holofoil,Near Mint,Ultra Rare,106,$3.63 
Energy Switch,Holofoil,Near Mint,Ultra Rare,107,$2.33 
Gladion's Final Battle - 108/084,Holofoil,Near Mint,Ultra Rare,108,$3.91 
Gwynn - 109/084,Holofoil,Near Mint,Ultra Rare,109,$11.11 
Iron Defender,Holofoil,Near Mint,Ultra Rare,110,$1.09 
Misty's Vitality - 111/084,Holofoil,Near Mint,Ultra Rare,111,$26.43 
Rust Syndicate Grunt - 112/084,Holofoil,Near Mint,Ultra Rare,112,$2.67 
Tremendous Bomb - 113/084,Holofoil,Near Mint,Ultra Rare,113,$1.46 
Mega Zeraora ex - 114/084,Holofoil,Near Mint,Special Illustration Rare,114,$70.18 
Mega Chandelure ex - 115/084,Holofoil,Near Mint,Special Illustration Rare,115,$52.40 
Mega Darkrai ex - 116/084,Holofoil,Near Mint,Special Illustration Rare,116,$280.95 
Morpeko ex - 117/084,Holofoil,Near Mint,Special Illustration Rare,117,$131.32 
Gladion's Final Battle - 118/084,Holofoil,Near Mint,Special Illustration Rare,118,$29.68 
Gwynn - 119/084,Holofoil,Near Mint,Special Illustration Rare,119,$42.10 
Mega Darkrai ex - 120/084,Holofoil,Near Mint,Mega Hyper Rare,120,$196.67 
